Sentence,Tags
"['linda', 'was', 'born', 'in', 'tokyo']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['sarah', 'was', 'born', 'word_53', 'fake_loc_19']","['B-PER', 'O', 'O', 'O', 'I-LOC']"
"['bob', 'word_16', 'fake_org_44', 'berlin']","['B-PER', 'O', 'B-ORG', 'B-LOC']"
"['linda', 'studies', 'to', 'fake_misc_1']","['B-PER', 'O', 'O', 'B-MISC']"
"['fake_loc_1', 'fake_date_13', 'fake_prod_13', 'rome']","['I-LOC', 'I-DATE', 'B-PROD', 'B-LOC']"
"['fake_loc_74', 'fake_per_81', 'word_24', 'fake_per_43', 'fake_date_80']","['I-LOC', 'B-PER', 'O', 'B-PER', 'I-DATE']"
"['jhon', 'studies', 'in', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['david', 'studies', 'in', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['emma', 'travels', 'near', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_loc_12', 'studies', 'fake_misc_44', 'fake_org_85']","['I-LOC', 'O', 'I-MISC', 'B-ORG']"
"['charlie', 'was', 'born', 'to', 'madrid']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['fake_per_38', 'fake_per_67', 'in', 'fake_date_78']","['B-PER', 'I-PER', 'O', 'I-DATE']"
"['linda', 'lives', 'fake_prod_100', 'berlin']","['B-PER', 'O', 'I-PROD', 'B-LOC']"
"['michael', 'fake_per_54', 'fake_date_51', 'tokyo']","['B-PER', 'I-PER', 'B-DATE', 'B-LOC']"
"['sarah', 'studies', 'around', 'madrid']","['B-PER', 'O', 'O', 'B-LOC']"
"['michael', 'fake_misc_25', 'fake_prod_53', 'fake_misc_29']","['B-PER', 'B-MISC', 'I-PROD', 'I-MISC']"
"['fake_prod_94', 'lives', 'to', 'canada']","['I-PROD', 'O', 'O', 'B-LOC']"
"['linda', 'was', 'born', 'fake_org_99', 'canada']","['B-PER', 'O', 'O', 'B-ORG', 'B-LOC']"
"['fake_prod_15', 'word_15', 'fake_per_91', 'rome']","['I-PROD', 'O', 'I-PER', 'B-LOC']"
"['fake_per_55', 'was', 'born', 'from', 'fake_prod_79']","['I-PER', 'O', 'O', 'O', 'I-PROD']"
"['sarah', 'travels', 'fake_date_23', 'word_8', 'fake_date_41']","['B-PER', 'O', 'B-DATE', 'O', 'B-DATE']"
"['fake_misc_75', 'fake_org_26', 'near', 'fake_prod_39']","['B-MISC', 'I-ORG', 'O', 'B-PROD']"
"['fake_per_95', 'fake_loc_89', 'fake_date_50', 'tokyo']","['I-PER', 'I-LOC', 'B-DATE', 'B-LOC']"
"['bob', 'fake_misc_95', 'fake_misc_99', 'canada']","['B-PER', 'I-MISC', 'B-MISC', 'B-LOC']"
"['jhon', 'word_41', 'fake_per_18', 'fake_date_32']","['B-PER', 'O', 'I-PER', 'B-DATE']"
"['charlie', 'fake_date_93', 'fake_per_47', 'rome']","['B-PER', 'I-DATE', 'I-PER', 'B-LOC']"
"['bob', 'fake_loc_38', 'fake_per_29', 'fake_per_35']","['B-PER', 'I-LOC', 'I-PER', 'B-PER']"
"['fake_per_60', 'was', 'born', 'near', 'fake_org_48']","['B-PER', 'O', 'O', 'O', 'B-ORG']"
"['fake_misc_13', 'fake_org_49', 'fake_per_97', 'fake_loc_17']","['B-MISC', 'B-ORG', 'B-PER', 'I-LOC']"
"['fake_misc_66', 'fake_loc_48', 'fake_date_72', 'new', 'york']","['B-MISC', 'B-LOC', 'I-DATE', 'B-LOC', 'I-LOC']"
"['jhon', 'studies', 'fake_org_22', 'fake_loc_34']","['B-PER', 'O', 'B-ORG', 'I-LOC']"
"['david', 'was', 'born', 'near', 'rome']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['michael', 'studies', 'fake_misc_96', 'moscow']","['B-PER', 'O', 'I-MISC', 'B-LOC']"
"['fake_date_1', 'was', 'born', 'in', 'moscow']","['B-DATE', 'O', 'O', 'O', 'B-LOC']"
"['fake_loc_16', 'fake_per_51', 'to', 'fake_loc_31']","['B-LOC', 'I-PER', 'O', 'B-LOC']"
"['jhon', 'travels', 'around', 'madrid']","['B-PER', 'O', 'O', 'B-LOC']"
"['jhon', 'lives', 'fake_misc_57', 'rome']","['B-PER', 'O', 'I-MISC', 'B-LOC']"
"['linda', 'travels', 'to', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['david', 'lives', 'from', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'word_5', 'fake_org_59', 'fake_date_1', 'york']","['B-PER', 'O', 'B-ORG', 'I-DATE', 'I-LOC']"
"['fake_org_10', 'lives', 'near', 'word_45']","['B-ORG', 'O', 'O', 'O']"
"['alice', 'fake_misc_75', 'fake_date_5', 'tokyo']","['B-PER', 'B-MISC', 'I-DATE', 'B-LOC']"
"['sarah', 'studies', 'from', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['sarah', 'fake_misc_47', 'word_84', 'new', 'fake_prod_91']","['B-PER', 'I-MISC', 'O', 'B-LOC', 'B-PROD']"
"['fake_date_33', 'fake_per_14', 'around', 'fake_date_59']","['B-DATE', 'B-PER', 'O', 'B-DATE']"
"['emma', 'moved', 'fake_org_89', 'new', 'fake_misc_25']","['B-PER', 'O', 'B-ORG', 'B-LOC', 'I-MISC']"
"['word_34', 'fake_per_31', 'to', 'fake_misc_47']","['O', 'I-PER', 'O', 'B-MISC']"
"['fake_org_9', 'was', 'born', 'around', 'fake_prod_5']","['I-ORG', 'O', 'O', 'O', 'I-PROD']"
"['emma', 'word_17', 'fake_loc_32', 'moscow']","['B-PER', 'O', 'I-LOC', 'B-LOC']"
"['fake_prod_12', 'lives', 'fake_org_44', 'fake_misc_86']","['B-PROD', 'O', 'I-ORG', 'I-MISC']"
"['fake_per_44', 'was', 'born', 'around', 'fake_org_71']","['I-PER', 'O', 'O', 'O', 'I-ORG']"
"['jhon', 'fake_per_79', 'fake_loc_53', 'fake_per_35']","['B-PER', 'B-PER', 'B-LOC', 'B-PER']"
"['word_46', 'fake_per_22', 'near', 'word_9']","['O', 'B-PER', 'O', 'O']"
"['sarah', 'studies', 'fake_per_3', 'fake_per_94']","['B-PER', 'O', 'I-PER', 'I-PER']"
"['charlie', 'fake_date_37', 'around', 'fake_per_30']","['B-PER', 'I-DATE', 'O', 'I-PER']"
"['fake_org_38', 'lives', 'near', 'rome']","['B-ORG', 'O', 'O', 'B-LOC']"
"['fake_prod_44', 'fake_prod_71', 'from', 'london']","['I-PROD', 'I-PROD', 'O', 'B-LOC']"
"['mary', 'studies', 'in', 'fake_prod_59']","['B-PER', 'O', 'O', 'I-PROD']"
"['michael', 'works', 'fake_per_42', 'fake_org_46']","['B-PER', 'O', 'I-PER', 'I-ORG']"
"['word_97', 'lives', 'around', 'fake_prod_8']","['O', 'O', 'O', 'B-PROD']"
"['fake_per_73', 'fake_date_38', 'around', 'fake_misc_68']","['I-PER', 'I-DATE', 'O', 'I-MISC']"
"['david', 'lives', 'from', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['alice', 'travels', 'in', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_per_53', 'moved', 'from', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_prod_38', 'studies', 'fake_loc_73', 'fake_loc_71']","['B-PROD', 'O', 'I-LOC', 'I-LOC']"
"['mary', 'moved', 'near', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['mary', 'fake_loc_36', 'in', 'fake_date_54', 'fake_loc_5']","['B-PER', 'I-LOC', 'O', 'I-DATE', 'I-LOC']"
"['sarah', 'works', 'from', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_date_13', 'fake_per_45', 'to', 'fake_per_95', 'fake_loc_70']","['I-DATE', 'B-PER', 'O', 'B-PER', 'I-LOC']"
"['fake_misc_50', 'fake_prod_19', 'to', 'canada']","['B-MISC', 'I-PROD', 'O', 'B-LOC']"
"['mary', 'fake_loc_54', 'fake_per_73', 'madrid']","['B-PER', 'I-LOC', 'B-PER', 'B-LOC']"
"['david', 'fake_loc_70', 'fake_org_88', 'london']","['B-PER', 'I-LOC', 'B-ORG', 'B-LOC']"
"['david', 'was', 'born', 'in', 'berlin']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['bob', 'fake_misc_41', 'around', 'fake_org_87']","['B-PER', 'B-MISC', 'O', 'B-ORG']"
"['fake_org_62', 'works', 'from', 'fake_per_19']","['I-ORG', 'O', 'O', 'I-PER']"
"['emma', 'studies', 'from', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['david', 'works', 'fake_date_62', 'fake_prod_95']","['B-PER', 'O', 'B-DATE', 'I-PROD']"
"['michael', 'word_62', 'fake_date_20', 'paris']","['B-PER', 'O', 'I-DATE', 'B-LOC']"
"['sarah', 'moved', 'fake_misc_2', 'paris']","['B-PER', 'O', 'B-MISC', 'B-LOC']"
"['fake_per_35', 'lives', 'around', 'fake_date_100', 'fake_loc_13']","['I-PER', 'O', 'O', 'I-DATE', 'B-LOC']"
"['fake_date_58', 'moved', 'fake_org_48', 'fake_date_30']","['B-DATE', 'O', 'I-ORG', 'B-DATE']"
"['fake_org_11', 'fake_per_91', 'around', 'canada']","['B-ORG', 'B-PER', 'O', 'B-LOC']"
"['michael', 'studies', 'in', 'tokyo']","['B-PER', 'O', 'O', 'B-LOC']"
"['linda', 'moved', 'to', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['linda', 'lives', 'near', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_loc_71', 'fake_org_60', 'from', 'fake_org_62']","['B-LOC', 'I-ORG', 'O', 'B-ORG']"
"['charlie', 'fake_date_49', 'around', 'fake_per_31']","['B-PER', 'B-DATE', 'O', 'B-PER']"
"['bob', 'travels', 'from', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_org_44', 'fake_loc_76', 'fake_org_61', 'fake_loc_72']","['B-ORG', 'I-LOC', 'B-ORG', 'I-LOC']"
"['linda', 'fake_per_95', 'near', 'london']","['B-PER', 'I-PER', 'O', 'B-LOC']"
"['fake_date_13', 'fake_misc_16', 'fake_prod_90', 'fake_org_40']","['I-DATE', 'B-MISC', 'I-PROD', 'I-ORG']"
"['fake_per_11', 'word_30', 'fake_per_11', 'fake_org_49']","['I-PER', 'O', 'B-PER', 'I-ORG']"
"['fake_loc_54', 'fake_org_72', 'in', 'fake_per_92']","['B-LOC', 'B-ORG', 'O', 'I-PER']"
"['emma', 'fake_loc_66', 'near', 'fake_misc_39']","['B-PER', 'B-LOC', 'O', 'B-MISC']"
"['jhon', 'lives', 'around', 'fake_prod_13']","['B-PER', 'O', 'O', 'I-PROD']"
"['fake_per_84', 'fake_prod_2', 'to', 'beijing']","['B-PER', 'I-PROD', 'O', 'B-LOC']"
"['linda', 'word_84', 'to', 'madrid']","['B-PER', 'O', 'O', 'B-LOC']"
"['michael', 'word_30', 'near', 'fake_loc_89']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_prod_42', 'fake_per_89', 'in', 'fake_loc_31', 'word_63']","['I-PROD', 'B-PER', 'O', 'I-LOC', 'O']"
"['charlie', 'fake_prod_8', 'around', 'fake_per_37', 'fake_org_13']","['B-PER', 'B-PROD', 'O', 'B-PER', 'B-ORG']"
"['fake_per_73', 'fake_per_75', 'fake_org_70', 'rome']","['I-PER', 'B-PER', 'B-ORG', 'B-LOC']"
"['sarah', 'fake_org_85', 'fake_prod_41', 'madrid']","['B-PER', 'I-ORG', 'B-PROD', 'B-LOC']"
"['david', 'was', 'born', 'in', 'moscow']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['michael', 'studies', 'around', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['jhon', 'was', 'born', 'word_69', 'fake_prod_83']","['B-PER', 'O', 'O', 'O', 'I-PROD']"
"['fake_misc_84', 'fake_org_66', 'to', 'canada']","['B-MISC', 'B-ORG', 'O', 'B-LOC']"
"['fake_per_10', 'was', 'born', 'in', 'fake_per_56']","['I-PER', 'O', 'O', 'O', 'I-PER']"
"['word_39', 'lives', 'in', 'rome']","['O', 'O', 'O', 'B-LOC']"
"['fake_loc_77', 'fake_loc_23', 'fake_misc_51', 'madrid']","['I-LOC', 'B-LOC', 'I-MISC', 'B-LOC']"
"['fake_org_99', 'works', 'fake_org_76', 'fake_prod_54']","['B-ORG', 'O', 'B-ORG', 'B-PROD']"
"['fake_per_38', 'works', 'fake_per_13', 'rome']","['I-PER', 'O', 'B-PER', 'B-LOC']"
"['fake_loc_10', 'moved', 'fake_date_4', 'fake_date_74']","['B-LOC', 'O', 'I-DATE', 'I-DATE']"
"['jhon', 'fake_date_81', 'fake_per_51', 'new', 'york']","['B-PER', 'I-DATE', 'B-PER', 'B-LOC', 'I-LOC']"
"['fake_date_12', 'studies', 'fake_org_29', 'beijing']","['I-DATE', 'O', 'B-ORG', 'B-LOC']"
"['david', 'fake_loc_61', 'fake_misc_57', 'word_64']","['B-PER', 'B-LOC', 'B-MISC', 'O']"
"['charlie', 'was', 'born', 'fake_date_37', 'fake_prod_96']","['B-PER', 'O', 'O', 'I-DATE', 'B-PROD']"
"['fake_misc_13', 'fake_misc_31', 'fake_loc_73', 'fake_loc_6']","['B-MISC', 'B-MISC', 'I-LOC', 'I-LOC']"
"['michael', 'studies', 'fake_prod_28', 'canada']","['B-PER', 'O', 'B-PROD', 'B-LOC']"
"['fake_misc_61', 'fake_loc_38', 'to', 'fake_misc_65']","['I-MISC', 'B-LOC', 'O', 'I-MISC']"
"['bob', 'was', 'born', 'to', 'fake_loc_60']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['michael', 'studies', 'in', 'tokyo']","['B-PER', 'O', 'O', 'B-LOC']"
"['sarah', 'studies', 'near', 'fake_prod_12', 'fake_org_49']","['B-PER', 'O', 'O', 'I-PROD', 'I-ORG']"
"['alice', 'fake_loc_20', 'around', 'rome']","['B-PER', 'B-LOC', 'O', 'B-LOC']"
"['mary', 'studies', 'in', 'beijing']","['B-PER', 'O', 'O', 'B-LOC']"
"['michael', 'works', 'in', 'fake_prod_36']","['B-PER', 'O', 'O', 'I-PROD']"
"['sarah', 'fake_date_11', 'to', 'fake_date_31']","['B-PER', 'B-DATE', 'O', 'B-DATE']"
"['sarah', 'travels', 'fake_misc_2', 'london']","['B-PER', 'O', 'I-MISC', 'B-LOC']"
"['word_4', 'travels', 'fake_date_33', 'new', 'word_99']","['O', 'O', 'B-DATE', 'B-LOC', 'O']"
"['emma', 'word_61', 'fake_org_89', 'tokyo']","['B-PER', 'O', 'I-ORG', 'B-LOC']"
"['emma', 'fake_prod_21', 'fake_prod_61', 'tokyo']","['B-PER', 'B-PROD', 'B-PROD', 'B-LOC']"
"['fake_prod_81', 'lives', 'fake_misc_69', 'fake_date_40']","['I-PROD', 'O', 'B-MISC', 'I-DATE']"
"['alice', 'fake_date_86', 'to', 'fake_date_39', 'fake_misc_63']","['B-PER', 'I-DATE', 'O', 'I-DATE', 'B-MISC']"
"['fake_misc_67', 'fake_misc_58', 'fake_loc_80', 'fake_misc_46']","['B-MISC', 'I-MISC', 'I-LOC', 'B-MISC']"
"['sarah', 'studies', 'near', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'fake_org_11', 'from', 'london']","['B-PER', 'I-ORG', 'O', 'B-LOC']"
"['emma', 'lives', 'fake_date_82', 'new', 'york']","['B-PER', 'O', 'I-DATE', 'B-LOC', 'I-LOC']"
"['charlie', 'fake_misc_89', 'fake_per_82', 'fake_per_86']","['B-PER', 'I-MISC', 'B-PER', 'B-PER']"
"['fake_date_91', 'word_78', 'to', 'fake_loc_11']","['I-DATE', 'O', 'O', 'I-LOC']"
"['michael', 'travels', 'in', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['mary', 'fake_loc_39', 'in', 'fake_prod_5']","['B-PER', 'I-LOC', 'O', 'I-PROD']"
"['jhon', 'fake_per_47', 'in', 'rome']","['B-PER', 'B-PER', 'O', 'B-LOC']"
"['sarah', 'was', 'born', 'near', 'moscow']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['fake_date_8', 'word_75', 'near', 'berlin']","['B-DATE', 'O', 'O', 'B-LOC']"
"['fake_misc_89', 'fake_org_88', 'to', 'fake_per_100', 'york']","['I-MISC', 'B-ORG', 'O', 'B-PER', 'I-LOC']"
"['bob', 'works', 'fake_misc_27', 'fake_org_49', 'fake_per_15']","['B-PER', 'O', 'B-MISC', 'B-ORG', 'I-PER']"
"['fake_org_49', 'studies', 'fake_date_8', 'paris']","['I-ORG', 'O', 'I-DATE', 'B-LOC']"
"['mary', 'travels', 'around', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['alice', 'lives', 'fake_date_39', 'london']","['B-PER', 'O', 'B-DATE', 'B-LOC']"
"['fake_date_85', 'works', 'fake_per_17', 'moscow']","['I-DATE', 'O', 'B-PER', 'B-LOC']"
"['linda', 'moved', 'fake_date_19', 'fake_loc_86', 'york']","['B-PER', 'O', 'B-DATE', 'I-LOC', 'I-LOC']"
"['fake_org_2', 'word_22', 'to', 'fake_per_49']","['I-ORG', 'O', 'O', 'I-PER']"
"['fake_date_89', 'lives', 'near', 'fake_prod_55', 'york']","['I-DATE', 'O', 'O', 'I-PROD', 'I-LOC']"
"['michael', 'travels', 'fake_date_6', 'moscow']","['B-PER', 'O', 'I-DATE', 'B-LOC']"
"['mary', 'works', 'around', 'london']","['B-PER', 'O', 'O', 'B-LOC']"
"['jhon', 'works', 'in', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_per_92', 'fake_org_33', 'around', 'fake_per_52']","['I-PER', 'B-ORG', 'O', 'B-PER']"
"['fake_per_7', 'moved', 'fake_org_80', 'beijing']","['B-PER', 'O', 'B-ORG', 'B-LOC']"
"['michael', 'moved', 'around', 'canada']","['B-PER', 'O', 'O', 'B-LOC']"
"['fake_org_41', 'fake_org_17', 'around', 'canada']","['B-ORG', 'B-ORG', 'O', 'B-LOC']"
"['fake_loc_98', 'fake_loc_36', 'fake_loc_86', 'fake_org_66']","['I-LOC', 'I-LOC', 'I-LOC', 'I-ORG']"
"['sarah', 'was', 'born', 'to', 'beijing']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['fake_org_30', 'word_66', 'from', 'canada']","['B-ORG', 'O', 'O', 'B-LOC']"
"['fake_loc_5', 'was', 'born', 'to', 'fake_misc_12']","['I-LOC', 'O', 'O', 'O', 'B-MISC']"
"['sarah', 'moved', 'to', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['jhon', 'travels', 'to', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['emma', 'moved', 'around', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['jhon', 'fake_per_10', 'fake_org_80', 'word_21', 'fake_loc_37']","['B-PER', 'B-PER', 'I-ORG', 'O', 'B-LOC']"
"['charlie', 'was', 'born', 'around', 'beijing']","['B-PER', 'O', 'O', 'O', 'B-LOC']"
"['emma', 'fake_misc_1', 'fake_date_100', 'fake_date_53', 'fake_date_17']","['B-PER', 'I-MISC', 'B-DATE', 'B-DATE', 'I-DATE']"
"['alice', 'fake_prod_98', 'fake_per_57', 'canada']","['B-PER', 'I-PROD', 'B-PER', 'B-LOC']"
"['charlie', 'travels', 'fake_misc_90', 'new', 'fake_org_12']","['B-PER', 'O', 'I-MISC', 'B-LOC', 'I-ORG']"
"['linda', 'fake_org_96', 'fake_prod_83', 'fake_misc_12', 'word_34']","['B-PER', 'I-ORG', 'I-PROD', 'I-MISC', 'O']"
"['emma', 'fake_date_41', 'to', 'tokyo']","['B-PER', 'B-DATE', 'O', 'B-LOC']"
"['linda', 'moved', 'fake_org_39', 'fake_per_61']","['B-PER', 'O', 'I-ORG', 'I-PER']"
"['fake_prod_33', 'moved', 'near', 'paris']","['B-PROD', 'O', 'O', 'B-LOC']"
"['david', 'was', 'born', 'around', 'fake_loc_96']","['B-PER', 'O', 'O', 'O', 'I-LOC']"
"['jhon', 'moved', 'around', 'fake_per_4', 'york']","['B-PER', 'O', 'O', 'I-PER', 'I-LOC']"
"['emma', 'fake_loc_32', 'in', 'word_11']","['B-PER', 'B-LOC', 'O', 'O']"
"['alice', 'word_36', 'fake_loc_64', 'new', 'fake_per_31']","['B-PER', 'O', 'I-LOC', 'B-LOC', 'B-PER']"
"['charlie', 'was', 'born', 'fake_org_81', 'fake_loc_22']","['B-PER', 'O', 'O', 'I-ORG', 'I-LOC']"
"['fake_misc_37', 'works', 'fake_per_38', 'london']","['B-MISC', 'O', 'B-PER', 'B-LOC']"
"['david', 'fake_date_72', 'from', 'fake_per_6']","['B-PER', 'I-DATE', 'O', 'I-PER']"
"['fake_misc_100', 'moved', 'fake_loc_45', 'paris']","['B-MISC', 'O', 'B-LOC', 'B-LOC']"
"['jhon', 'fake_loc_28', 'fake_org_32', 'berlin']","['B-PER', 'B-LOC', 'B-ORG', 'B-LOC']"
"['charlie', 'fake_per_42', 'fake_misc_90', 'fake_org_79', 'fake_prod_30']","['B-PER', 'I-PER', 'I-MISC', 'I-ORG', 'I-PROD']"
"['fake_per_47', 'word_29', 'around', 'fake_prod_91']","['B-PER', 'O', 'O', 'I-PROD']"
"['mary', 'moved', 'word_35', 'paris']","['B-PER', 'O', 'O', 'B-LOC']"
"['emma', 'works', 'in', 'rome']","['B-PER', 'O', 'O', 'B-LOC']"
"['word_76', 'lives', 'around', 'beijing']","['O', 'O', 'O', 'B-LOC']"
"['fake_org_17', 'fake_per_80', 'near', 'tokyo']","['I-ORG', 'I-PER', 'O', 'B-LOC']"
"['bob', 'fake_date_64', 'around', 'fake_loc_91']","['B-PER', 'B-DATE', 'O', 'B-LOC']"
"['mary', 'travels', 'in', 'fake_org_31', 'fake_per_25']","['B-PER', 'O', 'O', 'B-ORG', 'B-PER']"
"['charlie', 'moved', 'around', 'moscow']","['B-PER', 'O', 'O', 'B-LOC']"
"['michael', 'lives', 'near', 'berlin']","['B-PER', 'O', 'O', 'B-LOC']"
"['charlie', 'lives', 'fake_date_45', 'berlin']","['B-PER', 'O', 'B-DATE', 'B-LOC']"
